Lats,Longs
53.58909877,-138.7935454
53.58139425,-138.7917642
53.57959926,-138.7913222
53.57600807,-138.7904295
53.57421332,-138.7899793
53.56703191,-138.7881613
53.56523788,-138.7877031
53.5616496,-138.7867782
53.5598568,-138.786312
53.54550407,-138.7825474
53.543712,-138.7820734
53.54012671,-138.7811167
53.53833494,-138.7806344
53.53116554,-138.7786884
53.52937454,-138.7781982
53.52579237,-138.7772094
53.52400265,-138.7767112
53.50967476,-138.7726911
53.50788583,-138.7721852
53.50430685,-138.7711647
53.50251826,-138.7706506
53.49536169,-138.768577
53.49357392,-138.768055
53.48999827,-138.7670025
53.48821183,-138.7664726
53.47391043,-138.762198
53.47212483,-138.7616603
53.46855257,-138.7605763
53.46676736,-138.7600304
53.45962445,-138.75783
53.45784011,-138.7572762
53.45427138,-138.7561604
53.45248843,-138.7555987
53.43821514,-138.7510708
53.43643308,-138.7505015
53.43283409,-138.7493434
53.43108632,-138.7487768
53.42395786,-138.74645
53.42217717,-138.7458647
53.41861577,-138.7446857
53.4168365,-138.7440926
53.40259295,-138.7393125
53.40081462,-138.7387117
53.39725702,-138.7375015
53.39547919,-138.7368926
53.388366,-138.73444
53.38768101,-138.7342033
53.38631024,-138.7337282
53.38453328,-138.7331082
53.3823504,-138.7323415
53.3812601,-138.731957
53.36704789,-138.7269259
53.3652735,-138.7262938
53.36172384,-138.7250209
53.35994999,-138.7243807
53.35285288,-138.7218029
53.35108006,-138.7211549
53.34753453,-138.7198506
53.34575961,-138.7191936
53.3311463,-138.7137507
53.32979195,-138.7132451
53.32836312,-138.7127089
53.32559739,-138.7116656
53.32421516,-138.7111417
53.31960575,-138.7093862
53.3184543,-138.708946
53.31615126,-138.7080619
53.31500071,-138.7076185
53.30395006,-138.7033436
53.30218263,-138.7026559
53.29864739,-138.7012719
53.29688081,-138.7005762
53.28981335,-138.6977766
53.28804762,-138.697073
53.28451634,-138.6956577
53.28275148,-138.6949462
53.27946434,-138.6936131
53.27830541,-138.6931419
53.27637376,-138.6923547
53.27521665,-138.6918819
53.26091563,-138.6860262
53.25915426,-138.685301
53.25563079,-138.683842
53.25387011,-138.6831088
53.24682601,-138.6801591
53.24506651,-138.6794182
53.24154778,-138.6779282
53.23978996,-138.6771797
53.22571912,-138.6711566
53.22396248,-138.6704007
53.22044853,-138.6688803
53.21869265,-138.6681164
53.21166779,-138.6650439
53.20991313,-138.6642724
53.20640412,-138.6627211
53.20465119,-138.661942
53.19061964,-138.655674
53.18886793,-138.6548875
53.18536391,-138.653306
53.183613,-138.6525116
53.17660819,-138.649317
53.17485856,-138.648515
53.17135966,-138.6469028
53.16961181,-138.6460932
53.15562113,-138.6395816
53.15387455,-138.6387648
53.15038083,-138.6371225
53.1486351,-138.6362977
53.14165111,-138.6329817
53.13990671,-138.6321493
53.13641831,-138.6304765
53.13467573,-138.6296367
53.12072747,-138.6228828
53.11898622,-138.6220357
53.11550319,-138.620333
53.11376284,-138.619478
53.10680044,-138.6160412
53.10506146,-138.6151787
53.10158396,-138.6134455
53.09984685,-138.6125756
53.08594257,-138.6055808
53.08420682,-138.6047037
53.08073489,-138.6029408
53.0790001,-138.6020558
53.07206007,-138.5984988
53.0703267,-138.5976063
53.06686048,-138.5958132
53.06512903,-138.5949133
53.05127026,-138.587679
53.04954022,-138.5867719
53.04607976,-138.5849493
53.04435073,-138.5840344
53.03743384,-138.580358
53.03570628,-138.5794357
53.03225172,-138.577583
53.03052612,-138.5766533
53.0167144,-138.5691807
53.01499026,-138.568244
53.01154164,-138.5663619
53.00981856,-138.5654173
53.00292558,-138.5616222
53.00120401,-138.5606702
52.9977615,-138.5587582
52.99604194,-138.557799
52.98227879,-138.5500895
52.98058474,-138.5491368
52.9771963,-138.5472229
52.9755033,-138.5462626
52.96873069,-138.5424049
52.96703921,-138.5414374
52.96365687,-138.5394946
52.96196739,-138.5385201
52.94844504,-138.5306894
52.94675705,-138.5297081
52.9433808,-138.527737
52.94169392,-138.5267482
52.93494591,-138.5227763
52.93326054,-138.5217803
52.92989048,-138.5197804
52.92821373,-138.5187813
52.91718711,-138.512186
52.90898471,-138.5073487
52.90691377,-138.5061214
52.90275975,-138.5036471
52.90068452,-138.5024047
52.89235703,-138.497395
52.8902775,-138.4961379
52.8861198,-138.4936118
52.88404332,-138.4923439
52.86741404,-138.482143
52.86533845,-138.4808639
52.86118757,-138.4782932
52.85911396,-138.4770027
52.85082016,-138.4718164
52.84978291,-138.4711663
52.84874898,-138.470515
52.8446081,-138.4679007
52.84253986,-138.4665886
52.8289858,-138.4579504
52.82729395,-138.4568682
52.82391019,-138.4546953
52.82221964,-138.4536055
52.819353,-138.4517504
52.76437563,-138.4190584
52.54486273,-138.2900365
52.5134193,-138.2713833
52.48208829,-138.252241
52.45087262,-138.2326127
52.41977519,-138.212501
52.38879886,-138.1919088
52.35794651,-138.1708391
52.32722096,-138.1492947
52.29662505,-138.1272787
52.26354787,-138.1028383
52.23063047,-138.077849
52.1978764,-138.0523146
52.16528919,-138.026239
52.13287233,-137.9996263
52.10062931,-137.9724803
52.06856357,-137.9448052
52.03667853,-137.9166049
52.00497759,-137.8878837
51.97346413,-137.8586455
51.94214148,-137.8288947
51.91101296,-137.7986353
51.88008187,-137.7678715
51.84935147,-137.7366077
51.818825,-137.7048481
51.78850566,-137.6725971
51.7670944,-137.6493897
51.74579042,-137.6259381
51.64828249,-137.5185823
51.6175693,-137.4874784
51.5870311,-137.455907
51.55669995,-137.4238461
51.53477876,-137.4002305
51.51296993,-137.3763601
51.49127467,-137.3522365
51.48456819,-137.3446616
51.47123097,-137.3320144
51.44718608,-137.3088024
51.42325933,-137.2852917
51.39945223,-137.2614843
51.3757663,-137.2373821
51.35220301,-137.212987
51.32876386,-137.1883011
51.29972242,-137.1571253
51.27087898,-137.1255044
51.24223636,-137.0934424
51.21379733,-137.0609431
51.18556466,-137.0280106
51.15754107,-136.9946487
51.12972928,-136.9608615
51.10213198,-136.9266528
51.06602676,-136.8814979
51.06487885,-136.8800684
51.06345206,-136.878287
51.06060069,-136.8747174
51.05917726,-136.8729306
51.04779058,-136.8586026
51.04636997,-136.8568107
51.04353021,-136.8532191
51.04211222,-136.8514209
51.03644311,-136.8442131
51.03502806,-136.8424094
51.03220023,-136.8387951
51.03078858,-136.836986
51.01949638,-136.8224797
51.01808759,-136.8206656
51.01527152,-136.8170296
51.01386538,-136.8152092
51.0082438,-136.8079127
51.00684065,-136.8060868
51.00403665,-136.8024283
51.00263694,-136.8005972
50.99144039,-136.7859145
50.99004356,-136.7840783
50.98725146,-136.7803983
50.98585733,-136.778556
50.98028386,-136.7711717
50.97889275,-136.7693239
50.97611287,-136.7656216
50.97472523,-136.7637687
50.96362549,-136.7489113
50.96224077,-136.7470534
50.95947294,-136.7433298
50.95809095,-136.7414658
50.95256616,-136.7339947
50.95129184,-136.7322673
50.94843177,-136.7283796
50.94705634,-136.726505
50.93605456,-136.7114748
50.93468209,-136.7095954
50.93193881,-136.7058288
50.93056911,-136.7039432
50.92509358,-136.6963861
50.92434119,-136.6953463
50.92283662,-136.693264
50.92147139,-136.6913696
50.92024518,-136.6896634
50.91963314,-136.6888108
50.90873045,-136.6736097
50.90758801,-136.6720137
50.90530391,-136.6688159
50.90416329,-136.6672154
50.89960255,-136.6608024
50.89830696,-136.6589762
50.89571808,-136.6553178
50.89442514,-136.6534862
50.89372136,-136.6524866
50.89325357,-136.6518218
50.89128107,-136.6488736
50.89015894,-136.6472966
50.88881325,-136.6453649
50.88871837,-136.6452425
50.88734631,-136.64347
50.88441454,-136.6400501
50.88296122,-136.6383301
50.87715054,-136.631435
50.87570007,-136.6297093
50.87280124,-136.6262511
50.87135406,-136.6245199
50.85977689,-136.6106368
50.85833245,-136.6089004
50.85544495,-136.6054199
50.85400305,-136.6036771
50.8482381,-136.596691
50.84679908,-136.5949426
50.84392319,-136.5914389
50.84248749,-136.5896851
50.83100242,-136.5756209
50.8295695,-136.5738619
50.82670509,-136.5703362
50.82527474,-136.5685709
50.81955614,-136.5614946
50.81812871,-136.5597237
50.81527606,-136.5561752
50.813852,-136.5543989
50.80246021,-136.5401553
50.80103896,-136.5383739
50.79819793,-136.5348035
