Family,species_name,Present_in_PCEEZ_Region,max_length_m,Confidence,max_mass_kg,Confidence,max_mass_max_length_ratio,Confidence,Dentition,Confidence,migratory_behaviour,Confidence,max_diving_depth,Confidence,average_group_size,Confidence,prey_choice,Confidence
BALAENIDAE,Balaena_mysticetus,No,20,High,90000,High,4500,High,LB,High,Migratory,High,upper_mesopelagic,High,Small,High,zooplankton,High
BALAENOPTERIDAE,Balaenoptera_acutorostrata,Yes,9.8,High,9200,High,938.7755102,High,SB,High,Migratory,High,epipelagic,High,Small,High,zooplankton,High
BALAENOPTERIDAE,Balaenoptera_bonaerensis,No,10.7,High,9100,High,850.4672897,High,SB,High,Migratory,High,epipelagic,High,Small,High,zooplankton,High
BALAENOPTERIDAE,Balaenoptera_borealis,Yes,20,High,45000,High,2250,High,SB,High,Migratory,High,epipelagic,High,Small,High,zooplankton,High
BALAENOPTERIDAE,Balaenoptera_edeni,No,15.5,High,38250,High,2467.741935,High,SB,High,Mixed,High,upper_mesopelagic,High,Small,High,zooplankton,High
BALAENOPTERIDAE,Balaenoptera_musculus,Yes,32.6,High,180000,High,5521.472393,High,SB,High,Migratory,High,upper_mesopelagic,High,Solitary,High,zooplankton,High
BALAENOPTERIDAE,Balaenoptera_omurai,No,12,High,20000,High,1666.666667,High,SB,High,Non-Migratory,High,upper_mesopelagic,High,Solitary,High,zooplankton,High
BALAENOPTERIDAE,Balaenoptera_physalus,Yes,27,High,120000,High,4444.444444,High,SB,High,Migratory,High,upper_mesopelagic,High,Solitary,High,zooplankton,High
BALAENOPTERIDAE,Balaenoptera_ricei,No,12.65,High,20000,Low,1581.027668,Low,SB,High,Non-Migratory,High,upper_mesopelagic,High,Small,High,fish,High
ZIPHIIDAE,Berardius_arnuxii,No,9.75,High,8400,High,861.5384615,High,NFCT,High,Non-Migratory,High,bathypelagic,High,Medium_Small,High,cephalopods,High
ZIPHIIDAE,Berardius_bairdii,Yes,11.1,High,12000,High,1081.081081,High,NFCT,High,Non-Migratory,High,bathypelagic,High,Medium,High,cephalopods,High
ZIPHIIDAE,Berardius_minimus,No,6.9,High,7460,Low,1081.1,Low,NFCT,High,Non-Migratory,Low,bathypelagic,Low,Small,High,cephalopods,Low
NEOBALAENIDAE,Caperea_marginata,No,6.5,High,3400,High,523.0769231,High,SB,High,Migratory,High,epipelagic,High,Solitary,High,zooplankton,High
DELPHINIDAE,Cephalorhynchus_commersonii,No,1.74,High,86,High,49.42528736,High,FCT,High,Non-Migratory,High,epipelagic,High,Small,High,fish,High
DELPHINIDAE,Cephalorhynchus_eutropia,No,1.67,High,63,High,37.7245509,High,FCT,High,Non-Migratory,High,epipelagic,High,Medium_Small,High,fish,High
DELPHINIDAE,Cephalorhynchus_heavisidii,No,1.74,High,75,High,43.10344828,High,FCT,High,Non-Migratory,High,epipelagic,High,Small,High,fish,High
DELPHINIDAE,Cephalorhynchus_hectori,No,1.52,High,57,High,37.5,High,FCT,High,Non-Migratory,High,epipelagic,High,Medium_Small,High,fish,High
MONODONTIDAE,Delphinapterus_leucas,No,5.5,High,1450,High,263.6363636,High,FCT,High,Migratory,High,lower_mesopleagic,High,Medium_Small,High,fish,High
DELPHINIDAE,Delphinus_delphis,Yes,2.35,High,200,High,85.10638298,High,FCT,High,Migratory,High,upper_mesopelagic,High,Large,High,fish,High
ESCHRICHTIIDAE,Eschrichtius_robustus,Yes,15.3,High,45000,High,2941.176471,High,SB,High,Migratory,High,epipelagic,High,Solitary,High,non_cephalopod_invertebrates,High
BALAENIDAE,Eubalaena_australis,No,16,High,80000,High,5000,High,LB,High,Migratory,High,upper_mesopelagic,High,Solitary,Low,zooplankton,High
BALAENIDAE,Eubalaena_glacialis,No,16,High,90000,High,5625,High,LB,High,Migratory,High,epipelagic,High,Solitary,High,zooplankton,High
BALAENIDAE,Eubalaena_japonica,Yes,18,High,90000,High,5000,High,LB,High,Migratory,High,upper_mesopelagic,Low,Solitary,High,zooplankton,High
DELPHINIDAE,Feresa_attenuata,No,2.59,High,225,High,86.87258687,High,FCT,High,Non-Migratory,High,lower_mesopleagic,High,Medium_Large,High,fish,High
DELPHINIDAE,Globicephala_macrorhynchus,Yes,7.2,High,3600,High,500,High,FCT,High,Non-Migratory,High,lower_mesopleagic,High,Large,High,cephalopods,High
DELPHINIDAE,Globicephala_melas,No,7.6,High,3000,High,394.7368421,High,FCT,High,Non-Migratory,High,lower_mesopleagic,High,Large,High,cephalopods,High
