Family,species_name,max_length_m,max_mass_kg,max_mass_max_length_ratio,dentition,migratory_behaviour,max_diving_depth,average_group_size,prey_choice,confidence_max_length,confidence_max_mass,confidence_mass_length_ratio,confidence_dentition,confidence_migratory_behaviour,confidence_max_diving_depth,confidence_group_size,confidence_prey_choice,PCEEZ,Global
BALAENIDAE,Balaena_mysticetus,very_large,very_large,high,LB,Migratory,upper_mesopelagic,Small,zooplankton,1,1,1,1,1,1,1,1,0,1
BALAENOPTERIDAE,Balaenoptera_acutorostrata,intermediate,large,medium,SB,Migratory,epipelagic,Small,zooplankton,1,1,1,1,1,1,1,1,1,1
BALAENOPTERIDAE,Balaenoptera_bonaerensis,large,large,medium,SB,Migratory,epipelagic,Small,zooplankton,1,1,1,1,1,1,1,1,0,1
BALAENOPTERIDAE,Balaenoptera_borealis,very_large,very_large,high,SB,Migratory,epipelagic,Small,zooplankton,1,1,1,1,1,1,1,1,1,1
BALAENOPTERIDAE,Balaenoptera_edeni,very_large,very_large,high,SB,Mixed,upper_mesopelagic,Small,zooplankton,1,1,1,1,1,1,1,1,0,1
BALAENOPTERIDAE,Balaenoptera_musculus,very_large,very_large,high,SB,Migratory,upper_mesopelagic,Solitary,zooplankton,1,1,1,1,1,1,1,1,1,1
BALAENOPTERIDAE,Balaenoptera_omurai,large,very_large,high,SB,Non-Migratory,upper_mesopelagic,Solitary,zooplankton,1,1,1,1,1,1,1,1,0,1
BALAENOPTERIDAE,Balaenoptera_physalus,very_large,very_large,high,SB,Migratory,upper_mesopelagic,Solitary,zooplankton,1,1,1,1,1,1,1,1,1,1
BALAENOPTERIDAE,Balaenoptera_ricei,large,very_large,high,SB,Non-Migratory,upper_mesopelagic,Small,fish,1,0,0,1,1,1,1,1,0,1
ZIPHIIDAE,Berardius_arnuxii,intermediate,large,medium,NFCT,Non-Migratory,bathypelagic,Medium_Small,cephalopods,1,1,1,1,1,1,1,1,0,1
ZIPHIIDAE,Berardius_bairdii,large,very_large,high,NFCT,Non-Migratory,bathypelagic,Medium,cephalopods,1,1,1,1,1,1,1,1,1,1
ZIPHIIDAE,Berardius_minimus,intermediate,large,high,NFCT,Non-Migratory,bathypelagic,Small,cephalopods,1,0,0,1,0,0,1,0,0,1
NEOBALAENIDAE,Caperea_marginata,intermediate,large,medium,SB,Migratory,epipelagic,Solitary,zooplankton,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Cephalorhynchus_commersonii,small,small,low,FCT,Non-Migratory,epipelagic,Small,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Cephalorhynchus_eutropia,small,small,low,FCT,Non-Migratory,epipelagic,Medium_Small,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Cephalorhynchus_heavisidii,small,small,low,FCT,Non-Migratory,epipelagic,Small,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Cephalorhynchus_hectori,small,small,low,FCT,Non-Migratory,epipelagic,Medium_Small,fish,1,1,1,1,1,1,1,1,0,1
MONODONTIDAE,Delphinapterus_leucas,intermediate,large,medium,FCT,Migratory,lower_mesopelagic,Medium_Small,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Delphinus_delphis,small,intermediate,low,FCT,Migratory,upper_mesopelagic,Large,fish,1,1,1,1,1,1,1,1,1,1
ESCHRICHTIIDAE,Eschrichtius_robustus,very_large,very_large,high,SB,Migratory,epipelagic,Solitary,non_cephalopod_invertebrates,1,1,1,1,1,1,1,1,1,1
BALAENIDAE,Eubalaena_australis,very_large,very_large,high,LB,Migratory,upper_mesopelagic,Solitary,zooplankton,1,1,1,1,1,1,0,1,0,1
BALAENIDAE,Eubalaena_glacialis,very_large,very_large,high,LB,Migratory,epipelagic,Solitary,zooplankton,1,1,1,1,1,1,1,1,0,1
BALAENIDAE,Eubalaena_japonica,very_large,very_large,high,LB,Migratory,upper_mesopelagic,Solitary,zooplankton,1,1,1,1,1,0,1,1,1,1
DELPHINIDAE,Feresa_attenuata,small,intermediate,low,FCT,Non-Migratory,lower_mesopelagic,Medium_Large,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Globicephala_macrorhynchus,intermediate,large,medium,FCT,Non-Migratory,lower_mesopelagic,Large,cephalopods,1,1,1,1,1,1,1,1,1,1
DELPHINIDAE,Globicephala_melas,intermediate,large,medium,FCT,Non-Migratory,lower_mesopelagic,Large,cephalopods,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Grampus_griseus,small,intermediate,medium,FCT,Mixed,upper_mesopelagic,Medium_Large,cephalopods,1,1,1,1,1,1,1,1,1,1
ZIPHIIDAE,Hyperoodon_ampullatus,intermediate,large,medium,FCT,Mixed,bathypelagic,Small,cephalopods,1,1,1,1,1,1,1,1,0,1
ZIPHIIDAE,Hyperoodon_planifrons,intermediate,large,high,FCT,Mixed,bathypelagic,Medium_Small,cephalopods,1,1,1,1,0,0,1,1,0,1
ZIPHIIDAE,Indopacetus_pacificus,intermediate,large,high,NFCT,Mixed,bathypelagic,Medium,cephalopods,1,1,1,1,0,0,1,1,0,1
KOGIIDAE,Kogia_breviceps,small,intermediate,medium,FCT,Non-Migratory,bathypelagic,Small,cephalopods,1,1,1,1,1,1,1,1,1,1
KOGIIDAE,Kogia_sima,small,intermediate,medium,FCT,Non-Migratory,bathypelagic,Medium_Small,cephalopods,1,1,1,1,1,1,1,1,1,1
DELPHINIDAE,Lagenodelphis_hosei,small,intermediate,low,FCT,Non-Migratory,lower_mesopelagic,Large,cephalopods,1,1,1,1,0,1,1,1,0,1
